"1984",2019-10-14,"DRAMA"
"39 STEPS, THE ",2019-11-10,"COMEDY"
"A MIDSUMMER NIGHT’S DREAM - IN NEW ORLEANS",2020-04-28,"DRAMA"
"ANNIE JR",2020-03-11,"MUSICAL"
"AS IS",2019-11-12,"DRAMA"
"AS YOU LIKE IT ",2020-03-16,"DRAMA"
"AUDIENCE, THE",2020-05-05,"DRAMA"
"BAKKHAI",2019-10-04,"DRAMA"
"BARBARIANS",2020-06-01,"DRAMA"
"BEAUTIFUL - THE CAROLE KING MUSICAL ",2019-09-06,"MUSICAL"
"BEAUX' STRATAGEM, THE",2019-12-03,"COMEDY"
"BEND IT LIKE BECKHAM THE MUSICAL",2019-12-12,"MUSICAL"
"BILLY ELLIOT - THE MUSICAL",2020-04-16,"MUSICAL"
"BOOK OF MORMON , THE",2020-02-28,"MUSICAL"
"BRAINSTORM",2020-03-02,"DRAMA"
"BREAKFAST AT TIFFANY'S",2020-07-02,"DRAMA"
"CARETAKER, THE",2020-06-28,"DRAMA"
"CATS",2019-10-05,"MUSICAL"
"CHARLIE AND THE CHOCOLATE FACTORY - THE MUSICAL",2020-04-18,"MUSICAL"
"COMEDY OF ERRORS",2020-03-01,"COMEDY"
"COMMITMENTS, THE",2019-09-16,"MUSICAL"
"CONSENSUAL",2020-03-12,"DRAMA"
"CONSTELLATIONS",2020-02-04,"DRAMA"
"CREDITORS",2019-12-02,"DRAMA"
"CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME, THE",2020-01-11,"DRAMA"
"CYMBELINE",2020-03-07,"DRAMA"
"DAWN FRENCH: 30 MILLION MINUTES ",2020-06-13,"COMEDY"
"DEAR LUPIN",2020-05-09,"COMEDY"
"DEATH OF A SALESMAN",2020-04-20,"DRAMA"
"DR SEUSS'S THE LORAX",2019-10-24,"DRAMA"
"ELEPHANT MAN, THE",2020-06-14,"DRAMA"
"ELF THE MUSICAL",2020-02-28,"MUSICAL"
"ENTERTAINER, THE",2020-06-11,"DRAMA"
"EVENING AT THE TALK HOUSE",2019-09-16,"DRAMA"
"EVERYMAN",2020-06-18,"DRAMA"
"FARINELLI AND THE KING",2020-07-02,"DRAMA"
"FATHER, THE",2019-09-08,"DRAMA"
"FUTURE CONDITIONAL ",2020-04-03,"DRAMA"
"GREEN DAY'S AMERICAN IDIOT",2019-11-01,"MUSICAL"
"GROUNDHOG DAY",2019-12-05,"MUSICAL"
"GUYS AND DOLLS",2020-07-05,"MUSICAL"
"GYPSY",2019-09-03,"MUSICAL"
"HAIRY APE, THE",2020-05-18,"DRAMA"
"HAMLET",2020-04-13,"DRAMA"
"HARLEQUINADE / ALL ON HER OWN (Double Bill)",2020-05-10,"COMEDY"
"HARRY POTTER AND THE CURSED CHILD",2020-04-28,"DRAMA"
"HAY FEVER",2020-08-07,"COMEDY"
"HERE WE GO",2020-06-10,"DRAMA"
"HERESY OF LOVE, THE",2020-02-20,"DRAMA"
"HETTY FEATHER",2020-02-06,"DRAMA"
"HIGH SOCIETY",2020-05-07,"MUSICAL"
"HUSBANDS AND SONS",2020-02-13,"DRAMA"
"I WANT MY HAT BACK",2020-05-18,"DRAMA"
"IMPORTANCE OF BEING EARNEST, THE",2020-01-10,"COMEDY"
"JANE EYRE",2020-04-25,"DRAMA"
"JERSEY BOYS ",2019-10-24,"MUSICAL"
"KINKY BOOTS ",2020-08-23,"MUSICAL"
"LA MUSICA",2020-01-01,"DRAMA"
"LES LIAISONS DANGEREUSES",2020-02-22,"DRAMA"
"LES MISERABLES",2020-02-13,"MUSICAL"
"LET IT BE",2019-11-21,"MUSICAL"
"LIGHTS! CAMERA! IMPROVISE!",2020-04-28,"COMEDY"
"LION KING, THE ",2020-01-09,"MUSICAL"
"LORD OF THE DANCE  - DANGEROUS GAMES",2019-10-20,"MUSICAL"
"LORD OF THE FLIES, THE",2019-09-04,"DRAMA"
"MA RAINEY'S BLACK BOTTOM",2020-05-10,"DRAMA"
"MACBETH",2020-05-17,"DRAMA"
"MACBETH (in Cantonese)",2020-08-07,"DRAMA"
"MAMMA MIA!",2020-06-24,"MUSICAL"
"MASTER BUILDER, THE",2020-08-03,"DRAMA"
"MATILDA THE MUSICAL",2020-03-27,"MUSICAL"
"MEASURE FOR MEASURE",2020-08-08,"DRAMA"
"MEDEA",2019-10-01,"DRAMA"
"MEMPHIS THE MUSICAL",2020-05-10,"MUSICAL"
"MENTALISTS, THE",2020-01-11,"COMEDY"
"MERCHANT OF VENICE, THE",2020-05-03,"DRAMA"
"MISS SAIGON",2019-12-20,"MUSICAL"
"MOTHERF**KER WITH THE HAT, THE",2020-07-12,"DRAMA"
"MOTOWN THE MUSICAL",2020-05-02,"MUSICAL"
"MOUSETRAP, THE ",2020-08-12,"DRAMA"
"MUCH ADO ABOUT NOTHING",2020-07-18,"COMEDY"
"MY CHILDREN! MY AFRICA! ",2019-10-17,"DRAMA"
"NELL GWYNN",2020-02-17,"DRAMA"
"NUMBER, A",2020-01-23,"DRAMA"
"OMEROS",2020-04-25,"DRAMA"
"ORESTEIA",2020-06-21,"DRAMA"
"OUR COUNTRY'S GOOD",2020-03-24,"DRAMA"
"PAINKILLER, THE",2020-05-21,"COMEDY"
"PEOPLE, PLACES AND THINGS",2020-03-27,"DRAMA"
"PERICLES",2019-12-13,"DRAMA"
"PHANTOM OF THE OPERA, THE",2020-07-25,"MUSICAL"
"PHOTOGRAPH 51",2020-05-21,"DRAMA"
"PLAY THAT GOES WRONG, THE",2019-12-12,"COMEDY"
"POMONA",2020-06-21,"DRAMA"
"RED LION, THE",2019-11-05,"DRAMA"
"RICHARD II",2019-09-10,"DRAMA"
"RICHARD III (in Mandarin)",2020-08-04,"DRAMA"
"ROMEO AND JULIET",2020-03-04,"DRAMA"
